order_id,order_date,customer_id,city,state,region,payment_mode,delivery_days,order_status
1,2023-08-14,344,Mumbai,Mumbai_State,West,UPI,2,Delivered
2,2023-03-22,141,Mumbai,Mumbai_State,West,Debit Card,2,Delivered
3,2023-11-15,287,Mumbai,Mumbai_State,West,COD,4,Delivered
4,2023-10-05,180,Mumbai,Mumbai_State,West,UPI,4,Delivered
5,2023-03-14,483,Mumbai,Mumbai_State,West,COD,4,Delivered
6,2023-10-21,126,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
7,2023-11-10,457,Mumbai,Mumbai_State,West,UPI,3,Delivered
8,2023-01-26,67,Mumbai,Mumbai_State,West,COD,2,Delivered
9,2023-12-12,26,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
10,2023-02-14,219,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
11,2023-11-02,457,Mumbai,Mumbai_State,West,UPI,4,Delivered
12,2023-12-20,359,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
13,2023-06-09,171,Mumbai,Mumbai_State,West,COD,2,Delivered
14,2023-12-10,415,Mumbai,Mumbai_State,West,UPI,4,Delivered
15,2023-08-27,291,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
16,2023-12-24,240,Mumbai,Mumbai_State,West,COD,2,Delivered
17,2023-12-17,330,Mumbai,Mumbai_State,West,UPI,4,Delivered
18,2023-08-29,119,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
19,2023-11-12,133,Mumbai,Mumbai_State,West,COD,3,Delivered
20,2023-12-25,470,Mumbai,Mumbai_State,West,UPI,4,Delivered
21,2023-06-16,233,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
22,2023-09-01,58,Mumbai,Mumbai_State,West,UPI,3,Delivered
23,2023-03-29,145,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
24,2023-03-07,261,Mumbai,Mumbai_State,West,COD,2,Delivered
25,2023-02-24,167,Mumbai,Mumbai_State,West,UPI,4,Delivered
26,2023-06-04,273,Mumbai,Mumbai_State,West,UPI,3,Delivered
27,2023-07-31,123,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
28,2023-03-23,499,Mumbai,Mumbai_State,West,COD,3,Delivered
29,2023-06-24,107,Mumbai,Mumbai_State,West,UPI,4,Delivered
30,2023-08-11,291,Mumbai,Mumbai_State,West,UPI,3,Delivered
31,2023-05-01,89,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
32,2023-12-31,294,Mumbai,Mumbai_State,West,UPI,3,Delivered
33,2023-11-02,238,Mumbai,Mumbai_State,West,COD,3,Delivered
34,2023-08-16,91,Mumbai,Mumbai_State,West,UPI,3,Returned
35,2023-02-05,307,Mumbai,Mumbai_State,West,COD,2,Delivered
36,2023-11-02,395,Mumbai,Mumbai_State,West,UPI,3,Delivered
37,2023-11-27,339,Mumbai,Mumbai_State,West,UPI,2,Delivered
38,2023-03-13,455,Mumbai,Mumbai_State,West,Debit Card,4,Returned
39,2023-11-22,415,Mumbai,Mumbai_State,West,COD,2,Delivered
40,2023-12-05,77,Mumbai,Mumbai_State,West,COD,3,Delivered
41,2023-07-19,316,Mumbai,Mumbai_State,West,COD,4,Delivered
42,2023-04-16,349,Mumbai,Mumbai_State,West,UPI,3,Delivered
43,2023-12-14,156,Mumbai,Mumbai_State,West,COD,3,Delivered
44,2023-06-26,46,Mumbai,Mumbai_State,West,UPI,4,Delivered
45,2023-09-19,207,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
46,2023-02-01,190,Mumbai,Mumbai_State,West,UPI,4,Returned
47,2023-01-01,361,Mumbai,Mumbai_State,West,UPI,4,Delivered
48,2023-07-03,57,Mumbai,Mumbai_State,West,COD,3,Delivered
49,2023-05-01,222,Mumbai,Mumbai_State,West,COD,4,Delivered
50,2023-11-17,163,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
51,2023-07-15,223,Mumbai,Mumbai_State,West,COD,4,Delivered
52,2023-03-30,244,Mumbai,Mumbai_State,West,UPI,2,Delivered
53,2023-07-16,432,Mumbai,Mumbai_State,West,UPI,3,Delivered
54,2023-03-20,148,Mumbai,Mumbai_State,West,Debit Card,4,Delivered
55,2023-01-06,37,Mumbai,Mumbai_State,West,UPI,4,Delivered
56,2023-09-07,337,Mumbai,Mumbai_State,West,UPI,3,Cancelled
57,2023-03-11,44,Mumbai,Mumbai_State,West,UPI,2,Delivered
58,2023-08-01,441,Mumbai,Mumbai_State,West,COD,3,Delivered
59,2023-12-23,310,Mumbai,Mumbai_State,West,UPI,3,Delivered
60,2023-08-21,261,Mumbai,Mumbai_State,West,COD,3,Delivered
61,2023-08-19,197,Mumbai,Mumbai_State,West,UPI,3,Delivered
62,2023-08-06,310,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
63,2023-05-02,365,Mumbai,Mumbai_State,West,COD,4,Delivered
64,2023-10-07,296,Mumbai,Mumbai_State,West,Debit Card,3,Delivered
65,2023-01-20,291,Mumbai,Mumbai_State,West,COD,3,Delivered
66,2023-02-27,298,Mumbai,Mumbai_State,West,COD,3,Returned
67,2023-02-10,73,Mumbai,Mumbai_State,West,UPI,4,Delivered
68,2023-05-24,239,Mumbai,Mumbai_State,West,UPI,4,Delivered
69,2023-11-09,46,Mumbai,Mumbai_State,West,COD,2,Delivered
70,2023-12-06,492,Mumbai,Mumbai_State,West,COD,4,Delivered
71,2023-11-21,277,Mumbai,Mumbai_State,West,Debit Card,4,Delivered
72,2023-01-28,463,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
73,2023-01-06,241,Mumbai,Mumbai_State,West,COD,3,Delivered
74,2023-08-29,294,Mumbai,Mumbai_State,West,Debit Card,4,Delivered
75,2023-06-30,492,Mumbai,Mumbai_State,West,COD,3,Delivered
76,2023-01-19,356,Mumbai,Mumbai_State,West,UPI,4,Delivered
77,2023-10-16,134,Mumbai,Mumbai_State,West,UPI,2,Delivered
78,2023-10-24,87,Mumbai,Mumbai_State,West,UPI,4,Delivered
79,2023-05-30,415,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
80,2023-05-27,249,Mumbai,Mumbai_State,West,UPI,2,Delivered
81,2023-02-09,436,Mumbai,Mumbai_State,West,COD,3,Delivered
82,2023-11-12,144,Mumbai,Mumbai_State,West,Debit Card,3,Delivered
83,2023-01-08,380,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
84,2023-10-30,379,Mumbai,Mumbai_State,West,COD,2,Delivered
85,2023-07-09,414,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
86,2023-12-25,121,Mumbai,Mumbai_State,West,COD,3,Delivered
87,2023-09-28,442,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
88,2023-02-13,496,Mumbai,Mumbai_State,West,Debit Card,2,Delivered
89,2023-03-20,429,Mumbai,Mumbai_State,West,COD,3,Delivered
90,2023-07-31,395,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
91,2023-08-14,372,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
92,2023-10-23,376,Mumbai,Mumbai_State,West,UPI,3,Delivered
93,2023-05-16,387,Mumbai,Mumbai_State,West,UPI,2,Delivered
94,2023-08-26,205,Mumbai,Mumbai_State,West,UPI,3,Delivered
95,2023-09-30,120,Mumbai,Mumbai_State,West,Debit Card,3,Delivered
96,2023-07-19,243,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
97,2023-08-11,7,Mumbai,Mumbai_State,West,COD,3,Returned
98,2023-08-18,196,Mumbai,Mumbai_State,West,COD,4,Delivered
99,2023-09-29,350,Mumbai,Mumbai_State,West,COD,2,Delivered
100,2023-09-30,327,Mumbai,Mumbai_State,West,Credit Card,3,Returned
101,2023-08-10,313,Mumbai,Mumbai_State,West,COD,4,Delivered
102,2023-06-21,139,Mumbai,Mumbai_State,West,UPI,3,Delivered
103,2023-05-11,336,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
104,2023-12-12,384,Mumbai,Mumbai_State,West,COD,2,Delivered
105,2023-10-29,395,Mumbai,Mumbai_State,West,COD,2,Delivered
106,2023-12-13,354,Mumbai,Mumbai_State,West,COD,2,Delivered
107,2023-01-06,345,Mumbai,Mumbai_State,West,UPI,2,Delivered
108,2023-01-07,211,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
109,2023-12-17,229,Mumbai,Mumbai_State,West,COD,3,Delivered
110,2023-05-26,129,Mumbai,Mumbai_State,West,UPI,2,Delivered
111,2023-11-14,48,Mumbai,Mumbai_State,West,Credit Card,2,Returned
112,2023-12-03,458,Mumbai,Mumbai_State,West,UPI,2,Returned
113,2023-11-23,63,Mumbai,Mumbai_State,West,UPI,4,Returned
114,2023-02-14,439,Mumbai,Mumbai_State,West,COD,4,Delivered
115,2023-12-03,392,Mumbai,Mumbai_State,West,COD,4,Delivered
116,2023-04-05,459,Mumbai,Mumbai_State,West,Credit Card,2,Delivered
117,2023-05-10,151,Mumbai,Mumbai_State,West,UPI,3,Delivered
118,2023-02-08,328,Mumbai,Mumbai_State,West,Debit Card,3,Returned
119,2023-05-22,394,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
120,2023-12-08,395,Mumbai,Mumbai_State,West,Credit Card,3,Delivered
121,2023-02-07,142,Mumbai,Mumbai_State,West,UPI,2,Delivered
122,2023-06-20,31,Mumbai,Mumbai_State,West,Credit Card,3,Returned
123,2023-05-16,92,Mumbai,Mumbai_State,West,UPI,3,Delivered
124,2023-04-13,313,Mumbai,Mumbai_State,West,UPI,3,Delivered
125,2023-09-09,56,Mumbai,Mumbai_State,West,UPI,2,Delivered
126,2023-08-09,112,Mumbai,Mumbai_State,West,Credit Card,4,Delivered
127,2023-08-15,367,Mumbai,Mumbai_State,West,UPI,3,Delivered
128,2023-02-07,37,Mumbai,Mumbai_State,West,COD,4,Delivered
129,2023-08-17,10,Mumbai,Mumbai_State,West,Debit Card,3,Delivered
130,2023-11-24,1,Mumbai,Mumbai_State,West,COD,2,Delivered
